,1,2,3,4,5,6,7,8
0,Fam110b,Rpl13,Slc30a7,Met,Plat,Clspn,Aspm,Chn2
1,Mapk1ip1,Eif5a,Ascc3,Gm49688,Crip2,Atad2,Cenpe,Phyhipl
2,Mcf2,Mrpl52,Sec63,Dyrk1b,Ccn1,Tyms,Cenpf,Pdcd4
3,Rbpjl,Rpl41,Rev3l,Aldh1l2,Fzd1,Mybl2,Dlgap5,Dpysl2
4,Cobl,Phb2,Stox2,Atp10b,Anxa5,Prim1,Gas2l3,Zfp365
5,Gm45323,Rpl36,Adamts6,Pik3r1,Rras,E2f8,Kif2c,Mpzl1
6,Adcy8,Rpl37,Mga,Apba2,Tm4sf1,Chaf1a,Cdc25b,Map6d1
7,Rit2,Rps13,Chm,Col11a1,Sat1,Pcna,Ccnb1,Slc44a1
8,Rab27b,Rpl39,Spata5,Gm43597,Col4a1,Lig1,Kpna2,Sirt2
9,Vstm5,Rpl28,Tasor2,Kcnq1ot1,Wwtr1,Ccne1,Ckap5,Tubb4a
10,Rnf32,Gm10076,B3galt1,Bmp5,B3gnt2,Rrm2,Cep89,Bfsp2
11,Gpr158,Eif3e,Lpp,Nell2,Fstl1,Slbp,Hyls1,Cnp
12,Grid2ip,Cct4,Cdk13,Neat1,Pttg1,Zfp367,Fzr1,9530059O14Rik
13,Bmerb1,Rps27a,Parp8,Tnpo1,AW011738,Ncapg2,Cdc25c,Epb41l2
14,Kcnn3,Rps26,Tsc22d2,Zbtb38,Ccng1,Cdc45,Tpx2,Mbp
15,Phactr3,Rpl21,Trps1,Chst3,Serpinh1,Mcm10,Prc1,Pacs2
16,Nr3c2,Eef1d,Trp53bp1,Washc5,Tapbp,Cdk2,Plk1,Tmem108
17,Rab11fip5,Rpl3,Exoc5,Bcat1,Iqgap1,Exo1,Sgo2a,Gm54109
18,Kcnu1,Rpl15,Trim24,Snhg14,Sparc,Rad51,Hmmr,Map1b
19,Nipal2,Rps8,Cers6,Ppfia1,Ephx1,Ccne2,Aurka,Efcab14
20,Pygo1,Hddc2,Bach2,Atf7ip,Glul,Hat1,Nde1,Tcf7l2
21,Prkcb,Rpl11,Zfhx2,Nsg2,S100a11,Skp2,G2e3,Fam13c
22,Ryr3,Rpl10a,Zfp148,Cas9-EGFP,Nfe2l2,Dhfr,Arhgap11a,Snx30
23,Rasgrf1,Rpl7a,Trim44,1700109K24Rik,Pbxip1,Dnmt1,Prr11,Tns3
24,Matcap1,Rpl8,Cep126,Trio,Wnt5a,Wdr76,Ube2c,Ctnnal1
25,Numa1,Rpl18,Asb7,Gak,Hbegf,Tk1,Brd8,Srcin1
26,Tab1,Rpl19,Prdm2,Pcolce2,Sorl1,Pold3,Pif1,Nfasc
27,Bean1,Rplp0,Ubr5,Meis2,Cited1,Pclaf,Nek2,Elovl7
28,Kcnb2,Rps18,Ube2h,Meis1,Ctsc,Rrm1,Troap,Gramd3
29,Gsg1l,Rpl27a,Pde7b,Adamts9,Gng11,Gins3,Ckap2l,Cdc37l1
30,Adarb2,Rpl6,Rap1gds1,Cldn12,Cdkn1a,Rad54l,Fam83d,Ust
31,Upp2,Txn2,Rps6ka3,Taf2,Acox3,Pole,Terf1,Lrrc42
32,Gm56750,Rpl29,Itpr1,Col19a1,Tacc1,Fam111a,Parpbp,Spsb1
33,6030407O03Rik,Rbis,Ecpas,Slc38a2,Pdlim4,Tcf19,Knstrn,Dusp15
34,Stx1b,Eef1b2,Spen,Hapln4,Csf1,Rad51ap1,Spdl1,Frmd4a
35,Sntg1,Rps6,Brwd1,Kctd3,Gstm1,Brca1,Pimreg,Plp1
36,Trpc5,Rpl32,Cldn34c1,Igf2,Tbc1d10a,Rfc1,Bub1b,Rab33a
37,Camsap3,Naca,Ctnnd1,Peli2,Gm56730,Uhrf1,Tacc3,Rnd2
38,Ksr2,Rpl34,Kdm5a,Tecta,Gem,Rpa1,Arhgap19,Arhgap5
39,Pip5k1b,Rps10,Bbx,Cped1,Crip1,Ncapd3,Kif20b,Inppl1
40,Lrfn5,Pgls,Nipbl,Dcx,Tlr3,E2f2,Cenpc1,Fyn
41,Cys1,Rpl36a,Zcchc2,Cdon,Lhfp,Donson,Kifc1,Osbpl1a
42,Prr16,Rps11,Cep170,Gripap1,Ubc,Cenpu,Cip2a,Rictor
43,6330411D24Rik,Rps5,Tmtc2,Epha4,Cd164,Pold1,Kif20a,Myrf
44,Arap1,Rpl30,Arih1,Pnma8a,Cebpd,Atad5,Cenpl,Dynll2
45,Sh3rf3,Rpl22,Mtss1,Bmper,Heg1,Smc6,Bora,Bcar1
46,Adcy2,Rps7,Arfgef1,H2bc6,Lamp2,E2f7,Kif23,Slc15a4
47,Dpp6,Rps24,Tut4,Rab28,Hey1,Bard1,Gm47467,Parvb
48,Rtl4,Rpl24,Ssbp2,Smarcad1,Fbln2,Cenph,Tuba1c,Bmp4
49,Arnt2,Rpl10,Nktr,Atp1a1,Ninj1,Syce2,Cenpa,Agpat4
50,Vat1l,Hspe1,Scfd2,Gng12,Igfbp5,Pkmyt1,Miip,Sema4d
51,Gm10419,Rps3a1,Mdn1,Cttn,Dgkz,Tipin,Tnfaip8l1,Bcas1
52,Rimbp2,Rps23,Herc4,Reep3,Ifitm3,Esco2,Trim59,Stxbp3
53,Brsk2,Mrpl33,Mpdz,Cyfip1,Apcdd1,Dna2,Ect2,Rap2a
54,Gulp1,Rpl38,Mkln1,Ppp3cb,Slc5a3,Brip1,Gtse1,Ppp1r16b
55,Ankmy2,Naa10,Fnip2,Lpo,Phlda3,Kntc1,Ckap2,Cdyl
56,Gm16759,Rps19,Ino80,Peg3,Prr5l,Dscc1,Kif18b,9630013A20Rik
57,Srsf12,Txnl4a,Creb1,Gm43445,Ppp2r5a,Paxip1,Mis18bp1,Lgi3
58,Hecw1,Mrto4,Tet3,Armc8,Itga1,Chaf1b,Ccdc61,Pfn2
59,3830408C21Rik,Rpl17,Zfp704,Med13l,Dab2ip,Neil3,Ccnb2,Thra
60,Snph,Pfdn1,Lima1,Cul5,Ehd2,Prim2,Cdca8,Rtn4
61,Rph3a,Rpl7,Golim4,Eif2ak1,Cd63,Dek,Ccna2,Arhgap23
62,Ntm,Rpsa,Hivep1,Slc25a18,Dap,Pola1,Dbf4,Tmcc2
63,Plcxd3,Rplp2,Trpm3,Supt5,Shc1,Timeless,Cks2,Map1a
64,Rerg,Rpl23,Diaph2,Map7d2,Clic4,Myb,Cep55,Atp6v0a2
65,Prrt1,Rps3,Scaf4,E530011L22Rik,Efhd2,Nup85,Depdc1a,Man1c1
66,Prkg2,Rps2,Lancl3,Clcn5,Serinc3,Ubr7,Cdkn3,Map4k5
67,Kif26b,Rps27,Mpped2,Gm28379,Pls3,Mcm6,Nusap1,Pik3r3
68,Rgl3,Eif3f,Tenm3,Sec14l1,Plvap,Fignl1,Kif22,Fkbp15
69,Nrg3,Gm11808,Ncoa6,Ddx17,Jup,Fen1,Gm2762,Fnta
70,Arhgef17,Rpl18a,Shc3,Apc,Itpkc,Hells,Sgo1,Strn
71,Gpr45,Thyn1,Csrnp3,Galnt11,Gadd45b,Topbp1,Rangap1,Cldn11
72,Tk2,Rpl14,Ankrd13c,Sema3a,Mmp14,Gmnn,Fam110a,Aatk
73,Trappc9,Polr2e,Nln,Me1,Cdkn2b,Tfdp1,Cdc20,Bin1
74,Gm15246,Btf3,Yeats2,Mir133a-1hg,Fth1,Rfc2,Ubald2,Stam
75,Slc35f1,Rps17,Usp9x,Mapk6,Emp2,Dut,Gm42047,Ankrd44
76,Sorcs3,Llph,Csnk1g3,Tcf25,Plod3,Cdt1,Rad21,Cyfip2
77,Gm45159,Prdx2,Ddx10,Fgf4,Rrbp1,Pole2,Ccnf,Pak4
78,Samd12,Ndufb5,Atp13a3,Efr3a,Zfyve21,Haus8,Smc4,Sh3rf1
79,Srrm3,Wdr83os,Igf1r,Tle1,Lfng,Dnajc9,Tubb4b,Cnksr3
80,1500026H17Rik,Atp5h,Jakmip2,4933400F21Rik,Tifa,Orc6,Incenp,Mycl
81,Olfm3,Rps21,Asxl2,Myo5a,Fgfr1,Haus4,Cntrl,Shisal1
82,Nalf1,Rpl26,Klf7,1700028J19Rik,Axl,Cdc6,Enpp3,Rimkla
83,Fgf12,Nhp2,Scaf8,Nova1,Csrp1,Gins2,Knl1,Ilk
84,Kcnip1,Elob,Arhgap12,Cdh2,Vwa5a,Dtl,Kif18a,Kifbp
85,Kcnq3,Eif3i,Zfyve9,Ampd2,Igfbp7,Mcm8,Mdm1,Ppfibp2
86,Dpyd,Rack1,Opa1,Ago1,Nfkbia,Pola2,Nup37,Ccny
87,A230077H06Rik,Atp5g2,Aak1,Gm26944,Adipor1,Lrr1,Poc5,Glrb
88,Baalc,Atp5d,Lama4,Tes,Hspg2,Ulbp1,Ska2,Acsl3
89,Fgf14,Mrpl54,Stk39,Tank,Cebpb,Hrob,Sun2,Chst8
90,Gpr156,Rps9,Bbs12,Hr,Adamts5,E2f1,Cdca3,Arhgef10
91,Ralyl,Park7,Akt3,Uhmk1,Bcl2l1,Zgrf1,Ska3,Tppp
92,Vxn,Rpl35,Tpp2,Vav2,Gm26532,Ercc6l,Ccdc77,Dixdc1
93,Ablim3,Nme2,Arnt,Tspan12,Lrig1,Nsd2,Uevld,Gltp
94,Rora,Atpif1,Zfp942,Ubr3,Paqr8,Asf1b,Cdk1,Fam53b
95,Fgf11,Eif3g,Creb5,Ireb2,Fosl2,Mcm5,Tent4a,Rhog
96,Mir9-3hg,Rtraf,Wdr37,Epc1,Lxn,Cbln1,Kif11,Pard6g
97,Kcnc2,C1qbp,Zswim6,Naa25,Slc3a2,Casp8ap2,Mki67,Zdhhc7
98,Dlg2,Rpl37a,Cwc27,Ppp2r1b,Tpbg,Rfc4,Ppp2r5d,Cilk1
99,Cdk10,Mrpl12,Atf2,Washc4,Pnp,Cdc7,Mtmr14,Scarb2
